Date,Open,High,Low,Close,Volume,Adjusted
2022-06-02,21057.039063,21115.779297,20884.160156,21082.130859,1816141700,21082.130859
2022-06-06,21282.509766,21691.919922,21030.070313,21653.900391,2244704900,21653.900391
2022-06-07,21577.480469,21744.460938,21394.589844,21531.669922,2145401800,21531.669922
2022-06-08,21788.890625,22064.119141,21734.490234,22014.589844,2943006300,22014.589844
2022-06-09,22121.529297,22142.820313,21737.939453,21869.050781,2544549600,21869.050781
2022-06-10,21522.5,21935.009766,21487.910156,21806.179688,2686148300,21806.179688
2022-06-13,21162.529297,21320.150391,20993.759766,21067.580078,2607011600,21067.580078
2022-06-14,20783.539063,21175.009766,20717.640625,21067.990234,1965884200,21067.990234
2022-06-15,21111.320313,21431.070313,21111.320313,21308.210938,2301321000,21308.210938
2022-06-16,21515.640625,21545.839844,20697.410156,20845.429688,2341100400,20845.429688
2022-06-17,20716.740234,21145.939453,20697.169922,21075,3097480100,21075
2022-06-20,20948.800781,21175.980469,20839.019531,21163.910156,2085205800,21163.910156
2022-06-21,21264.980469,21564.869141,21175.949219,21559.589844,2133396900,21559.589844
2022-06-22,21469.740234,21519.580078,21008.339844,21008.339844,2470631200,21008.339844
2022-06-23,21157.580078,21443.589844,21010.890625,21273.869141,2007274200,21273.869141
2022-06-24,21450.679688,21762.669922,21408.660156,21719.060547,2410823300,21719.060547
2022-06-27,21976.800781,22414.429688,21976.800781,22229.519531,2994729200,22229.519531
2022-06-28,22144.630859,22449.310547,21952.439453,22418.970703,2873985100,22418.970703
2022-06-29,22125.609375,22289.070313,21844.050781,21996.890625,2834486800,21996.890625
2022-06-30,21917.449219,22111.910156,21719.169922,21859.789063,2822730100,21859.789063
2022-07-04,21690.679688,21886.349609,21458.630859,21830.349609,2203708000,21830.349609
2022-07-05,22053.160156,22198.509766,21799.189453,21853.070313,2143810000,21853.070313
2022-07-06,21777.640625,21833.400391,21286.660156,21586.660156,2886434300,21586.660156
2022-07-07,21352.699219,21643.580078,21200.929688,21643.580078,1744594800,21643.580078
2022-07-08,21961.75,21961.75,21614.650391,21725.779297,1565420200,21725.779297
2022-07-11,21470.769531,21470.769531,21001.630859,21124.199219,1693929400,21124.199219
2022-07-12,20905.070313,21084.089844,20779.589844,20844.740234,1745240700,20844.740234
